BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 Down -1  #SUP: 2
BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 Down -1  #SUP: 21
BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1  #SUP: 19
BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 Rise -1  #SUP: 2
BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_0 -1  #SUP: 10
BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_0 -1 Rise -1  #SUP: 2
BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1  #SUP: 6
BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1  #SUP: 2
BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1 Down -1  #SUP: 2
BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1 Down -1  #SUP: 5
BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_0 -1 Down -1  #SUP: 8
BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 Down -1  #SUP: 17
BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1  #SUP: 15
BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 Rise -1  #SUP: 2
BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_0 -1  #SUP: 10
BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_0 -1 Rise -1  #SUP: 2
BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1  #SUP: 6
BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1  #SUP: 2
BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1 Down -1  #SUP: 2
BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1 Down -1  #SUP: 5
BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_0 -1 Down -1  #SUP: 8
BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 Down -1  #SUP: 13
BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1  #SUP: 3
BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_0 -1  #SUP: 2
BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_0 -1 Down -1  #SUP: 2
BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 Down -1  #SUP: 3
BIAS_R_10_0.01_0 -1 Down -1  #SUP: 94
BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1  #SUP: 49
BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 Rise -1  #SUP: 15
BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_0 -1  #SUP: 27
BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_0 -1 Rise -1  #SUP: 9
BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1  #SUP: 20
BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1 Rise -1  #SUP: 7
BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1  #SUP: 15
BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1 Rise -1  #SUP: 4
BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1  #SUP: 10
BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1 Rise -1  #SUP: 2
BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1  #SUP: 5
BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1  #SUP: 3
BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1 Down -1  #SUP: 2
BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1 Down -1  #SUP: 4
BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1 Down -1  #SUP: 8
BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1 Down -1  #SUP: 11
BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1 Down -1  #SUP: 13
BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_0 -1 Down -1  #SUP: 18
BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1  #SUP: 5
BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_0 -1  #SUP: 3
BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1  #SUP: 2
BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1 Down -1  #SUP: 2
BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_0 -1 Down -1  #SUP: 2
BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 Down -1  #SUP: 4
BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1  #SUP: 4
BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_0 -1  #SUP: 3
BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1  #SUP: 2
BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1 Down -1  #SUP: 2
BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_0 -1 Down -1  #SUP: 2
BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 Down -1  #SUP: 3
BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 Down -1  #SUP: 34
BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1  #SUP: 44
BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 Rise -1  #SUP: 13
BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_0 -1  #SUP: 27
BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_0 -1 Rise -1  #SUP: 9
BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1  #SUP: 20
BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1 Rise -1  #SUP: 7
BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1  #SUP: 15
BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1 Rise -1  #SUP: 4
BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1  #SUP: 10
BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1 Rise -1  #SUP: 2
BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1  #SUP: 5
BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1  #SUP: 3
BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1 Down -1  #SUP: 2
BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1 Down -1  #SUP: 4
BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1 Down -1  #SUP: 8
BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1 Down -1  #SUP: 11
BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1 Down -1  #SUP: 13
BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_0 -1 Down -1  #SUP: 18
BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1  #SUP: 5
BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_0 -1  #SUP: 3
BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1  #SUP: 2
BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1 Down -1  #SUP: 2
BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_0 -1 Down -1  #SUP: 2
BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 Down -1  #SUP: 4
BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1  #SUP: 4
BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_0 -1  #SUP: 3
BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1  #SUP: 2
BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1 Down -1  #SUP: 2
BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_0 -1 Down -1  #SUP: 2
BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 Down -1  #SUP: 3
BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 Down -1  #SUP: 31
BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1  #SUP: 35
BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 Rise -1  #SUP: 11
BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_0 -1  #SUP: 23
BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_0 -1 Rise -1  #SUP: 9
BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1  #SUP: 16
BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1 Rise -1  #SUP: 7
BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1  #SUP: 11
BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1 Rise -1  #SUP: 4
BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1  #SUP: 6
BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1 Rise -1  #SUP: 2
BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1  #SUP: 2
BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1 Down -1  #SUP: 4
BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1 Down -1  #SUP: 7
BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1 Down -1  #SUP: 9
BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_0 -1 Down -1  #SUP: 14
BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1  #SUP: 5
BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_0 -1  #SUP: 3
BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1  #SUP: 2
BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1 Down -1  #SUP: 2
BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_0 -1 Down -1  #SUP: 2
BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 Down -1  #SUP: 4
BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1  #SUP: 4
BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_0 -1  #SUP: 3
BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_1 -1 BIAS_R_10_0.01_0 -1 BIAS_R_10_0.01_0 -1  #SUP: 2
